#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	R10_S209_L002_R1_001.fastqd_metagenome	R11_S210_L002_R1_001.fastqd_metagenome	R12_S211_L002_R1_001.fastqd_metagenome	R13_S212_L002_R1_001.fastqd_metagenome	R14_S213_L002_R1_001.fastqd_metagenome	R15_S214_L002_R1_001.fastqd_metagenome	R16_S215_L002_R1_001.fastqd_metagenome	R17_S216_L002_R1_001.fastqd_metagenome	R18_S217_L002_R1_001.fastqd_metagenome	R19_S218_L002_R1_001.fastqd_metagenome	R1_S200_L002_R1_001.fastqd_metagenome	R20_S219_L002_R1_001.fastqd_metagenome	R21_S220_L002_R1_001.fastqd_metagenome	R22_S221_L002_R1_001.fastqd_metagenome	R2_S201_L002_R1_001.fastqd_metagenome	R3_S202_L002_R1_001.fastqd_metagenome	R4_S203_L002_R1_001.fastqd_metagenome	R5_S204_L002_R1_001.fastqd_metagenome	R6_S205_L002_R1_001.fastqd_metagenome	R7_S206_L002_R1_001.fastqd_metagenome	R8_S207_L002_R1_001.fastqd_metagenome	R9_S208_L002_R1_001.fastqd_metagenome
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.27369	0.50363	0.15934	0.14052	0.00107	0.39308	0.12328	0.18954	0.11828	0.01444	0.25857	0.00084	0.03513	0.01529	0.45705	0.49692	0.3859	0.2201	0.52701	0.04289	0.27393	0.13512
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28791	0.27236	0.02558	0.00623	0.20342	0.08899	0.23813	0.05559	0.17073	0.3686	0.02887	0.0	0.06214	0.12984	0.11319	0.06074	0.005	0.03353	0.17135	0.12871	0.0	0.21134	0.10486
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__GGB30301	0.27157	0.01345	0.21888	0.0501	0.0	0.03724	0.09051	0.09012	0.0945	0.0	0.01358	0.0019	0.01914	0.036	0.04342	0.03006	0.00413	0.03639	0.01306	0.00024	0.06263	0.06353
k__Bacteria|p__Bacteroidetes|c__CFGB9375|o__OFGB9375|f__FGB9375|g__GGB27770	0.25526	0.17809	0.64118	0.16525	0.00492	0.20753	0.06296	0.20674	0.24154	0.02677	0.07438	0.02451	0.21152	0.17083	0.19176	0.12136	0.07953	0.11746	0.15906	0.02361	0.32179	0.08194
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30448	0.22927	0.05202	0.04381	0.00277	0.0	0.0821	0.18295	0.22797	0.37292	0.0	0.0045	0.00162	0.00435	0.01247	0.02297	0.02667	0.03624	0.0501	0.05281	0.00103	0.04395	0.04727
k__Bacteria|p__Bacteroidetes|c__CFGB9388|o__OFGB9388|f__FGB9388|g__GGB27866	0.2193	0.10049	0.42227	0.09387	0.04395	0.29864	0.15871	0.61812	0.43816	0.07845	0.21121	0.14333	0.07814	0.12668	0.0746	0.36435	0.0625	0.42985	0.11269	0.13814	0.51798	0.19002
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB27872	0.21423	0.23134	0.12279	0.12025	0.0043	0.17404	0.25874	0.24146	0.15921	0.1502	0.20268	0.11618	0.04878	0.13069	0.12956	0.21465	0.28921	0.22409	0.24811	0.08935	0.32154	0.27594
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Acutalibacter	0.20638	0.00157	0.35774	0.01587	0.0	0.01629	0.01982	0.30526	0.53349	0.0	0.0	0.0	0.11986	0.03998	0.00991	0.00336	0.0	0.00832	0.0	0.0014	0.06535	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__GGB30413	0.20495	0.06204	0.0	0.02016	0.0	0.01718	0.05811	0.1258	0.24373	0.00036	0.0	0.0	0.01461	0.00717	0.00125	0.0331	0.00688	0.0093	0.02739	0.00094	0.05358	0.03104
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827|f__FGB9827|g__GGB29531	0.191	0.00256	0.17438	0.09058	0.00186	0.03556	0.1543	0.22765	0.37854	0.01832	0.00021	0.01373	0.13577	0.11177	0.11717	0.0	0.00056	0.0	0.0	0.0	0.09543	0.03932
k__Bacteria|p__Proteobacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB27478	0.17767	0.52087	0.04927	0.35975	4e-05	0.11014	0.18708	0.19763	0.243	0.58528	0.1244	0.07033	0.23987	0.15885	0.40133	0.29716	0.35126	0.72883	0.3297	0.20501	0.15133	0.21096
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28851	0.1771	0.042	0.06771	0.95775	0.49731	0.03425	1.5244	0.09581	0.16528	0.13267	0.36538	0.00719	0.16539	0.51138	0.91524	0.00791	0.18135	0.3427	0.74692	0.0221	0.36104	0.15316
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB27792	0.17258	0.26265	0.84205	0.3367	0.00084	0.24432	0.06661	0.73648	0.29201	0.05733	0.09441	0.02223	0.08722	0.23596	0.70737	0.13447	0.25336	0.08793	0.19825	0.07668	0.34459	0.29621
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28968	0.1719	0.02536	0.08293	0.1386	0.01991	0.02492	0.08144	0.13824	0.22619	0.01709	0.02888	0.01617	0.06647	0.02815	0.04865	0.00779	0.01675	0.07492	0.05832	0.00513	0.07168	0.04069
k__Bacteria|p__Bacteroidetes|c__CFGB7480|o__OFGB7480|f__FGB7480|g__GGB27697	0.1664	0.15458	0.04507	0.16228	0.00054	0.14122	0.11747	0.13718	0.08435	0.06068	0.2119	0.0139	0.035	0.04183	0.21041	0.11295	0.04843	0.17183	0.11432	0.09786	0.17554	0.15674
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB27482	0.16571	0.40167	0.55347	0.02483	0.00165	0.48996	0.48976	0.08515	0.10182	0.01306	0.80484	0.05812	0.01309	0.01224	0.03174	0.18299	0.47157	0.12677	0.267	0.2272	0.04223	0.14674
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__GGB30286	0.15185	0.04774	0.00318	0.04653	0.0	0.0131	0.09717	0.06959	0.08197	0.0	0.00182	0.0	0.00441	0.00142	0.03397	0.00987	0.01117	0.03851	0.12829	0.0	0.04779	0.03667
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30473	0.15094	0.04821	0.30621	0.10335	0.00283	0.08242	0.06751	0.21394	0.242	0.01664	0.07735	0.02054	0.08245	0.08867	0.09111	0.04376	0.07657	0.04928	0.04848	0.03709	0.10473	0.10196
k__Bacteria|p__Firmicutes|c__CFGB9659|o__OFGB9659|f__FGB9659|g__GGB29003	0.14583	0.21993	0.01322	0.02164	0.0	0.02797	0.00981	0.12102	0.25122	0.00087	0.03471	0.02152	0.00574	0.00136	0.05582	0.09642	0.08216	0.113	0.08297	0.00053	0.11987	0.01201
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB28422	0.13707	0.0	0.01522	0.04746	0.0	0.00622	0.03797	0.10031	0.07428	0.00457	0.0125	0.0	0.06017	0.03965	0.66495	0.01151	0.00408	0.02322	0.0	0.02882	0.06071	0.03967
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola	0.13424	0.11469	0.35321	0.23966	0.00363	0.38976	0.13247	0.14221	0.07451	0.02179	0.15177	0.0044	0.00214	0.00661	0.67928	0.08936	0.4309	0.05563	0.03481	0.10908	0.54096	0.18677
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	0.13066	0.23349	0.16454	0.21017	6e-05	0.16284	0.15931	0.04715	0.02532	0.036	0.08271	0.00039	0.00286	0.01315	0.23533	0.14787	0.3486	0.07256	0.3741	0.14001	0.07423	0.28266
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28879	0.12393	0.0	0.17239	0.00385	0.0	0.0097	0.00885	0.00962	0.00465	0.0	0.03678	0.00083	0.00077	0.00079	0.0	0.00261	0.0	0.17793	0.01053	0.00021	0.01954	0.00579
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30457	0.12346	0.0795	0.06732	0.01955	0.00328	0.09936	0.1558	0.22505	0.13237	0.0	0.00027	0.00037	0.08588	0.02355	0.00906	0.02712	0.00459	0.02621	0.21869	0.00047	0.07134	0.02187
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter	0.11885	0.66072	0.139	0.38409	0.00238	0.26104	0.32126	0.23869	0.16352	0.09978	0.8965	0.00416	0.20742	0.16175	0.67655	1.06493	0.1151	0.52323	0.33093	0.23957	0.1317	0.42918
k__Bacteria|p__Firmicutes|c__CFGB8123|o__OFGB8123|f__FGB8123|g__GGB28956	0.11641	0.0	0.12033	0.08347	0.04449	0.06847	0.05396	0.1329	0.24637	0.00828	0.01752	0.02333	0.06109	0.0323	0.04748	0.02131	0.02077	0.04976	0.01289	0.00167	0.0496	0.01405
k__Bacteria|p__Firmicutes|c__CFGB9639|o__OFGB9639|f__FGB9639|g__GGB28934	0.1049	0.03252	0.01582	0.12407	0.00036	0.01799	0.25226	0.10426	0.19185	0.04853	0.0136	0.01165	0.00353	0.00372	0.07369	0.01265	0.02209	0.05272	0.05659	0.00321	0.08801	0.07291
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB29009	0.09992	0.40945	0.01785	0.21057	0.22729	0.00966	0.0	0.00965	0.00912	0.0	0.0	0.0	0.05884	0.02773	0.0	0.07435	0.01314	0.1229	0.41592	0.0	0.01123	0.0011
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479|f__FGB9479|g__GGB28330	0.09907	0.0634	0.00564	0.19935	0.0	0.03525	0.2618	0.17191	0.29931	0.02917	0.09115	0.00323	0.02712	0.02265	0.03155	0.02749	0.03537	0.04252	0.1485	0.01172	0.12947	0.07081
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB29005	0.09722	0.0	0.67852	0.0	0.0	0.0	0.05683	0.01177	0.02358	0.03385	0.00045	0.0	0.11572	0.01881	0.00395	0.43515	0.42714	1.42436	0.33871	0.00173	0.02004	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenellaceae_unclassified	0.09552	0.08429	0.1952	0.02224	0.0	0.11129	0.08003	0.07671	0.05136	0.01554	0.08654	0.00653	0.02856	0.02935	0.1354	0.07561	0.37952	0.09197	0.14945	0.07418	0.05055	0.09083
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__GGB28250	0.09533	0.12901	0.08894	0.00233	0.0	0.11136	0.04639	0.05271	0.03493	0.01264	0.1216	0.00184	0.00197	0.00408	0.12091	0.13901	0.04265	0.04236	0.09145	0.04534	0.08557	0.0634
k__Bacteria|p__Firmicutes|c__CFGB9629|o__OFGB9629|f__FGB9629|g__GGB28839	0.0867	0.092	1.23477	0.04466	0.0	0.03796	0.10411	0.03199	0.04643	0.00956	0.0137	0.02344	0.03331	0.00913	0.14546	0.07357	0.04107	0.0622	0.1016	0.00137	0.0	0.06348
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28861	0.0772	0.0	0.0	0.04985	0.00646	0.0	0.00375	0.2174	0.34911	0.0	0.0	0.0	0.00064	0.00079	0.0	0.0	0.0	0.0	0.0	0.0	0.23104	0.00115
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0.07669	0.89429	0.15699	0.73422	0.0	2.36391	1.01313	1.34789	0.82623	16.75799	0.00146	16.56839	32.55848	11.04584	0.13667	1.20442	0.04493	0.036	0.1807	0.23676	0.13095	0.09604
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28772	0.07502	0.0289	0.08453	0.0	0.00133	0.17404	0.02251	0.05715	0.10607	0.00152	0.04093	0.09249	0.04215	0.02253	0.0235	0.0	0.00372	0.03631	0.08349	0.0023	0.02402	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Clostridiales_unclassified	0.07456	0.15966	0.01443	0.00242	0.76672	0.14942	0.11822	0.03766	0.02297	0.00429	0.16901	0.0005	0.27346	0.15034	0.05781	0.10875	0.03041	0.05339	0.08903	0.02006	0.04193	0.05814
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella	0.07318	0.13187	0.02591	0.37898	0.03154	0.07794	0.20628	0.13892	0.08498	0.3074	0.15464	0.26312	0.10571	0.35864	0.0972	0.09813	0.25488	0.09605	0.16415	0.17697	0.25505	0.2733
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28803	0.07191	0.11533	0.0006	0.0	0.03007	0.08231	0.05402	0.11174	0.20008	0.01846	0.02504	0.00349	0.05928	0.01461	0.05366	0.01448	0.03847	0.12222	0.174	0.00109	0.09243	0.04034
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Alphaproteobacteria_unclassified|f__Alphaproteobacteria_unclassified|g__GGB30620	0.06966	0.05396	0.0	0.03261	0.0	0.05523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00953	0.03977	0.0	0.01681	0.03013	0.00199	0.00095	0.09518
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28846	0.06612	0.0067	0.0	0.00125	0.00697	0.0	0.03367	0.0034	0.01052	0.00018	0.0	0.00108	0.00077	0.0	0.00295	0.00066	0.0	0.01067	0.04152	0.0	0.02313	0.00232
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Neglecta	0.06519	0.06847	0.41765	0.01303	0.00344	0.16542	0.33339	0.14135	0.21136	0.00693	0.02569	0.01697	0.14991	0.08644	0.09967	0.00792	0.04567	0.05444	0.14982	0.00808	0.18343	0.11117
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB27885	0.06423	0.11499	0.06866	0.07144	0.00899	0.1634	0.09126	0.12808	0.07627	0.06195	0.12642	0.02073	0.03776	0.02602	0.06015	0.17823	0.1916	0.12157	0.20264	0.09227	0.0666	0.19892
k__Bacteria|p__Bacteria_unclassified|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28888	0.06197	0.0	0.43464	0.05064	0.00278	0.06745	0.10357	0.29721	0.16218	0.00034	0.0	0.03679	0.36315	0.1104	0.10784	0.00153	0.00372	0.00217	0.05307	0.00132	0.03385	0.02716
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB27776	0.0606	0.25468	0.11569	0.02546	0.00095	0.40296	0.07315	0.06798	0.04044	0.01708	0.06839	0.00216	0.02074	0.02709	0.22514	0.08238	0.43682	0.07258	0.27514	0.05755	0.06347	0.09002
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28766	0.06028	0.12775	0.18992	0.5223	3.16043	0.20245	0.80936	0.16651	0.29863	0.29938	0.41021	0.16022	0.24272	0.10416	0.85194	0.0508	0.07777	0.23541	0.19987	0.03829	0.08334	0.28825
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Alphaproteobacteria_unclassified|f__Alphaproteobacteria_unclassified|g__GGB30667	0.0592	0.07914	0.0	0.01071	0.0	0.05318	0.0	0.0	0.0	0.0	0.01544	0.0	0.0	0.0	0.00735	0.0247	0.0	0.01949	0.07587	0.00182	0.00099	0.05064
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28963	0.05708	0.08707	0.00397	0.4733	0.03633	0.02997	0.42459	0.39019	0.76357	0.03976	0.03944	0.09604	0.08612	0.03892	0.08506	0.01093	0.02633	0.03365	0.05846	0.01578	0.3128	0.03407
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	0.05212	0.0	0.0	0.0	0.0	0.0	0.09974	0.04595	0.02529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01134	0.05755	0.26533
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30454	0.04923	0.02834	0.0	0.01927	0.0	0.08541	0.04632	0.00912	0.00324	0.0	0.0	0.0	0.02125	0.00478	0.0	0.00688	0.0	0.02141	0.13957	0.0	0.03736	0.00173
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123|o__OFGB8123|f__FGB8123|g__GGB28950	0.04419	0.0139	0.01232	0.00079	0.00229	0.00296	0.04409	0.02158	0.04004	0.01533	0.00367	0.00125	0.00847	0.0008	0.0054	0.00164	0.00546	0.07927	0.16113	0.00369	0.12346	0.04008
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30461	0.04308	0.0294	0.43066	0.00735	0.00235	0.07368	0.04067	0.08705	0.06791	0.0	0.01717	0.00199	0.04867	0.0198	0.00355	0.0195	0.00213	0.14791	0.04637	0.00393	0.09015	0.03903
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum	0.04298	0.04476	0.00258	0.12454	0.07501	0.16277	0.23166	0.02012	0.00668	4.05387	0.1177	0.01115	0.0307	0.01772	0.00877	0.07871	0.13577	0.04184	0.09533	0.45402	0.1953	0.22811
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB14013	0.04225	1.32428	0.0	0.19702	0.00059	0.84644	0.47474	0.04996	0.02745	0.17374	0.55531	0.0	0.01201	0.01359	0.18461	0.94949	1.44813	0.40813	0.55445	0.22105	0.13512	1.11443
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644|f__FGB9644|g__GGB28948	0.04184	0.0228	0.01799	0.16278	0.05413	0.01179	0.07758	0.07853	0.18376	0.01504	0.02894	0.0601	0.12477	0.06248	0.12158	0.02283	0.01606	0.05672	0.10838	0.00169	0.18338	0.01651
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28790	0.03967	0.26966	0.01572	1.60704	0.02839	0.00015	0.01208	0.0033	0.00994	0.00643	0.06163	0.00656	0.3716	0.1304	0.02753	0.02496	0.00969	0.25382	0.22005	3e-05	0.12206	0.01721
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28873	0.03839	0.01594	0.0	0.0005	0.05474	0.00872	0.0	0.00014	0.0	0.0	0.0015	0.0	0.00363	0.0	0.0	0.03583	0.0	0.00135	0.07068	0.0	0.00315	0.01112
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__GGB30300	0.03725	0.01957	0.0373	0.0	0.0	0.03158	0.01433	0.00911	0.00714	0.0	0.0	0.0	0.0	0.0	0.0	0.00282	0.0017	0.00806	0.03125	0.0	0.01835	0.00237
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB28416	0.03626	0.0	0.01226	0.01159	0.0	0.0	0.02947	0.05681	0.03803	0.0	0.0	0.0	0.01414	0.04253	0.00068	0.0	0.0	0.00071	0.0	0.00163	0.03227	0.00357
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB24134	0.03551	0.04332	0.0	0.02006	0.0	0.06153	0.04878	0.01151	0.0059	0.00382	0.0361	0.02	0.00045	0.0053	0.00959	0.03747	0.00353	0.02772	0.02748	0.05546	0.02657	0.10562
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus	0.03363	0.08374	0.03961	0.06285	0.27329	0.08626	0.04558	0.10161	0.06846	0.11961	0.09166	0.12496	0.14835	0.09971	0.01595	0.1543	0.14319	0.08745	0.07168	0.06634	0.05513	0.11992
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthellaceae_unclassified	0.03327	0.04205	0.02919	0.02013	0.18341	0.05718	0.02614	0.08751	0.05423	0.03528	0.05141	0.076	0.10266	0.05146	0.00927	0.04422	0.05021	0.02309	0.02473	0.03127	0.03192	0.06485
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30466	0.03212	0.03966	0.01265	0.00351	0.0	0.00889	0.05673	0.03464	0.03524	0.0	0.00637	0.0	0.00259	0.00038	0.01621	0.00341	0.0	0.00791	0.04298	0.0	0.04787	0.02969
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30444	0.03066	0.01807	0.0	0.01445	0.0	0.02579	0.10506	0.07448	0.06708	0.0	0.0	0.0	0.00544	2e-05	0.0	0.03265	0.0	0.01068	0.0355	0.003	0.04853	0.04762
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28924	0.02908	0.12518	0.00081	0.05909	0.0	0.01853	0.05156	0.09376	0.15881	0.01199	0.01686	0.00068	0.03018	0.05695	0.0089	0.09204	0.00677	0.03098	0.01917	0.00013	0.24704	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28849	0.02732	0.09232	0.01497	0.12775	0.00034	0.03223	0.05865	0.13508	0.22205	0.05756	0.07976	0.0077	0.01232	0.02678	0.20685	0.04034	0.04541	0.19315	0.09166	0.0088	0.1355	0.01491
k__Bacteria|p__Firmicutes|c__CFGB9660|o__OFGB9660|f__FGB9660|g__GGB29004	0.0263	0.00395	0.0	0.8735	0.06577	0.00016	0.70178	1.28821	2.58139	0.01938	0.48488	0.03207	0.01728	0.01794	0.98044	0.71322	0.0	0.2528	0.01552	0.00151	0.00133	0.99801
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30451	0.02593	0.01044	0.17732	0.02537	0.0	0.03365	0.3044	0.13213	0.18175	0.0	0.0029	0.0	0.0013	0.00086	0.04241	0.02031	0.0	0.01254	0.2979	0.0	0.26403	0.04085
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30475	0.02385	0.03263	0.0	0.0	0.00231	0.01635	0.12911	0.03173	0.06293	0.00059	0.0	0.0	0.0	0.00018	0.00761	0.01944	0.08813	0.08185	0.13127	0.00211	0.04957	0.05331
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30445	0.02343	0.26547	0.0	0.09992	0.0	0.0362	0.43454	0.15115	0.0943	0.0055	0.1332	0.00048	0.02493	0.03542	0.19005	0.06883	0.06042	0.0	0.17318	0.01791	0.29089	0.22055
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Emergencia	0.02332	0.02974	0.00879	0.02278	0.00469	0.02506	0.01157	0.03629	0.02887	0.0104	0.03057	0.00307	0.01909	0.01124	0.02057	0.04273	0.05163	0.02377	0.02142	0.00762	0.02198	0.02204
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.02246	0.00722	0.02601	0.02226	0.01326	0.02314	0.02547	0.04163	0.04043	0.00139	0.0	0.03334	0.02354	0.08709	0.03471	0.0	0.00779	0.00952	0.01072	0.00187	0.05069	0.01303
k__Bacteria|p__Firmicutes|c__CFGB9990|o__OFGB9990|f__FGB9990|g__GGB30408	0.02192	0.00454	0.00725	0.03883	0.0	0.0133	0.08922	0.09452	0.14801	0.0	0.0	0.00064	0.00406	0.00797	0.02695	0.01495	0.0	0.00858	0.04736	0.0	0.08653	0.00797
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__GGB30302	0.02078	0.0	0.0	0.03222	0.0	0.0	0.03991	0.02646	0.01133	0.0	0.0	0.0	0.00088	0.0	0.0	0.00028	0.0	0.00142	0.0	0.0	0.00933	0.00227
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0.02051	0.17263	0.15827	0.0735	0.33404	0.14633	0.05375	0.19253	0.11058	0.08589	0.03702	0.2061	0.09686	0.10135	0.02697	0.19074	0.1459	0.02164	0.02249	0.02218	0.05277	0.11818
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28769	0.0203	0.01402	0.00812	0.04662	0.02045	0.01575	0.06232	0.03514	0.07142	0.0057	0.00448	0.00492	0.06182	0.06524	0.02039	0.0091	0.03713	0.01634	0.04687	0.0	0.101	0.00744
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__GGB30303	0.01848	0.02966	0.01376	0.01106	0.0	0.00752	0.04227	0.0501	0.06977	0.0	0.0	0.00094	0.01096	0.0042	0.04326	0.01089	0.0012	0.0	0.03045	0.00046	0.06543	0.00437
k__Bacteria|p__Firmicutes|c__CFGB9836|o__OFGB9836|f__FGB9836|g__GGB29546	0.01586	0.0781	0.0277	0.04835	0.0	0.09717	0.00349	0.06696	0.12306	0.00661	0.03651	0.01934	0.09096	0.0291	0.00342	0.02951	0.0016	0.01379	0.02754	0.00124	0.02315	0.01098
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	0.01524	0.0	0.04273	0.00309	0.0	0.01554	0.02435	0.0099	0.00335	0.0	0.0	0.0	0.01724	0.00395	0.00011	0.00047	0.00089	0.00367	0.00523	0.0	0.00457	0.00997
k__Bacteria|p__Firmicutes|c__CFGB9618|o__OFGB9618|f__FGB9618|g__GGB28779	0.01517	0.08924	0.10849	0.7066	0.0514	0.0237	0.30018	0.24195	0.16266	0.04992	0.99459	0.01833	0.0636	0.00313	0.01692	0.96627	0.02473	0.44819	0.10462	0.00349	0.07781	0.03811
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB28404	0.01261	0.02179	0.0	0.00949	0.0	0.13466	0.1093	0.02191	0.01426	0.01037	0.02526	0.0289	0.00196	0.0099	0.0	0.00863	0.0	0.03529	0.06409	0.42732	0.0181	0.09446
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas	0.01166	0.04223	0.0	0.05751	0.0	0.03333	0.03149	0.01164	0.00409	0.01276	0.039	0.00027	0.0	0.01148	0.02016	0.05179	0.05219	0.02755	0.05562	0.0167	0.03848	0.03284
