# Gene Family	merged_3043-12_S189_L002__kneaddata_paired_Abundance-RPKs
UniRef90_L2UUH0|unclassified	7765.8648420763
UniRef90_A0A2D0K2G5	7726.6717665826
UniRef90_A0A2D0K2G5|unclassified	7726.6717665826
UniRef90_A0A2I8QG08	7646.6416782917
UniRef90_A0A2I8QG08|unclassified	7646.6416782917
UniRef90_A0A1U7K1E4	7625.2615923346
UniRef90_A0A1U7K1E4|unclassified	7625.2615923346
UniRef90_A0A1P8KI73	7595.5971303442
UniRef90_A0A1P8KI73|g__Klebsiella.s__Klebsiella_oxytoca	7595.5971303442
UniRef90_A0A156JDC4	7446.6367507275
UniRef90_A0A156JDC4|g__Klebsiella.s__Klebsiella_oxytoca	7446.6367507275
UniRef90_A0A1D7PV13	7301.1060809327
UniRef90_A0A1D7PV13|g__Klebsiella.s__Klebsiella_oxytoca	7301.1060809327
UniRef90_A0A370YBS9	6939.2300373914
UniRef90_A0A370YBS9|unclassified	6939.2300373914
UniRef90_G9CAZ6	6604.4274903990
UniRef90_G9CAZ6|g__Klebsiella.s__Klebsiella_oxytoca	6604.4274903990
UniRef90_A0A168T352	6494.8095556055
UniRef90_A0A168T352|g__Klebsiella.s__Klebsiella_oxytoca	6494.8095556055
UniRef90_A0A291VMX8	6406.8220062791
UniRef90_A0A291VMX8|g__Klebsiella.s__Klebsiella_michiganensis	3367.7799488754
UniRef90_A0A291VMX8|g__Klebsiella.s__Klebsiella_oxytoca	3039.0420574038
UniRef90_A0A2H9AYU6	6372.6750049731
UniRef90_A0A2H9AYU6|g__Klebsiella.s__Klebsiella_michiganensis	3272.5901989656
UniRef90_A0A2H9AYU6|g__Klebsiella.s__Klebsiella_oxytoca	3100.0848060075
UniRef90_A0A0T5XHL3	6049.1044507577
UniRef90_A0A0T5XHL3|g__Klebsiella.s__Klebsiella_oxytoca	6049.1044507577
UniRef90_A0A066NHK4	5823.0852334021
UniRef90_A0A066NHK4|g__Klebsiella.s__Klebsiella_oxytoca	5823.0852334021
UniRef90_A0A377TH15	5738.1184213278
UniRef90_A0A377TH15|g__Klebsiella.s__Klebsiella_oxytoca	5738.1184213278
UniRef90_A0A2K4P389	5620.0704932449
UniRef90_A0A2K4P389|g__Klebsiella.s__Klebsiella_grimontii	5620.0704932449
UniRef90_A0A0F1AFI3	5495.0766440474
UniRef90_A0A0F1AFI3|g__Klebsiella.s__Klebsiella_oxytoca	5495.0766440474
UniRef90_UPI00093FBB2D	5419.9242754237
UniRef90_UPI00093FBB2D|unclassified	5419.9242754237
UniRef90_A0A181XP40	5400.6730996222
UniRef90_A0A181XP40|g__Klebsiella.s__Klebsiella_oxytoca	5400.6730996222
UniRef90_A0A0T5XEV3	5396.7037145413
UniRef90_A0A0T5XEV3|g__Klebsiella.s__Klebsiella_oxytoca	5396.7037145413
UniRef90_A0A0K9T6P2	5370.4356613822
UniRef90_A0A0K9T6P2|unclassified	5370.4356613822
UniRef90_G5PYB1	5312.3866310303
UniRef90_G5PYB1|g__Klebsiella.s__Klebsiella_michiganensis	5312.3866310303
UniRef90_P76096	5209.7065056745
UniRef90_P76096|g__Klebsiella.s__Klebsiella_michiganensis	2753.8166614169
UniRef90_P76096|g__Klebsiella.s__Klebsiella_oxytoca	2455.8898442575
UniRef90_P0C079	5138.8127540732
UniRef90_P0C079|g__Klebsiella.s__Klebsiella_oxytoca	2706.1262353955
UniRef90_P0C079|g__Klebsiella.s__Klebsiella_michiganensis	2432.6865186778
UniRef90_A0A182EY77	5074.8811793614
UniRef90_A0A182EY77|unclassified	5074.8811793614
UniRef90_A0A0T5XNL0	5021.2641580409
UniRef90_A0A0T5XNL0|g__Klebsiella.s__Klebsiella_oxytoca	5014.6416414846
UniRef90_A0A0T5XNL0|unclassified	6.6225165563
UniRef90_A0A2H9A2L2	4882.8878286221
UniRef90_A0A2H9A2L2|g__Klebsiella.s__Klebsiella_oxytoca	2461.5462942858
UniRef90_A0A2H9A2L2|g__Klebsiella.s__Klebsiella_michiganensis	2421.3415343363
UniRef90_A0A0C5EKK4	4752.0810473057
UniRef90_A0A0C5EKK4|g__Klebsiella.s__Klebsiella_oxytoca	2425.2600857126
UniRef90_A0A0C5EKK4|g__Klebsiella.s__Klebsiella_michiganensis	2326.8209615930
UniRef90_A0A0C5EU92	4719.8408385913
UniRef90_A0A0C5EU92|g__Klebsiella.s__Klebsiella_oxytoca	2551.2143695430
UniRef90_A0A0C5EU92|g__Klebsiella.s__Klebsiella_michiganensis	2161.9000116493
UniRef90_A0A0C5EU92|unclassified	6.7264573991
UniRef90_P0C077	4626.1977837256
UniRef90_P0C077|g__Klebsiella.s__Klebsiella_michiganensis	2325.5492035536
UniRef90_P0C077|g__Klebsiella.s__Klebsiella_oxytoca	2300.6485801720
UniRef90_A0A378D0V1	4614.5434446726
UniRef90_A0A378D0V1|g__Klebsiella.s__Klebsiella_oxytoca	4614.5434446726
UniRef90_A0A142EBK2	4604.2728529077
UniRef90_A0A142EBK2|g__Klebsiella.s__Klebsiella_oxytoca	4604.2728529077
UniRef90_A0A0J2D3H9	4580.1185606703
UniRef90_A0A0J2D3H9|g__Klebsiella.s__Klebsiella_oxytoca	2294.0397137727
UniRef90_A0A0J2D3H9|g__Klebsiella.s__Klebsiella_michiganensis	2286.0788468976
UniRef90_A0A0T5XJH5	4544.3306599942
UniRef90_A0A0T5XJH5|g__Klebsiella.s__Klebsiella_oxytoca	4544.3306599942
UniRef90_A0A2H9EIT6	4542.0895962791
UniRef90_A0A2H9EIT6|g__Klebsiella.s__Klebsiella_michiganensis	2590.7167730488
UniRef90_A0A2H9EIT6|g__Klebsiella.s__Klebsiella_oxytoca	1951.3728232304
UniRef90_A0A3A4M1E9	4508.0911959683
UniRef90_A0A3A4M1E9|unclassified	4508.0911959683
UniRef90_A0A0T5XFS6	4492.4932306892
UniRef90_A0A0T5XFS6|g__Klebsiella.s__Klebsiella_oxytoca	4492.4932306892
UniRef90_G9Z840	4442.3969587835
UniRef90_G9Z840|g__Klebsiella.s__Klebsiella_oxytoca	4442.3969587835
UniRef90_A0A0J1XIE6	4433.1618764482
UniRef90_A0A0J1XIE6|g__Klebsiella.s__Klebsiella_michiganensis	2246.9214485619
UniRef90_A0A0J1XIE6|g__Klebsiella.s__Klebsiella_oxytoca	2186.2404278863
UniRef90_A7MFQ6	4412.5200051660
UniRef90_A7MFQ6|g__Klebsiella.s__Klebsiella_michiganensis	2216.8798751716
UniRef90_A7MFQ6|g__Klebsiella.s__Klebsiella_grimontii	2187.7661142464
UniRef90_A7MFQ6|unclassified	7.8740157480
UniRef90_A0A0J2AGI4	4399.0893059916
UniRef90_A0A0J2AGI4|g__Streptococcus.s__Streptococcus_pneumoniae	3518.9373574050
UniRef90_A0A0J2AGI4|g__Klebsiella.s__Klebsiella_michiganensis	481.2788353867
UniRef90_A0A0J2AGI4|g__Klebsiella.s__Klebsiella_oxytoca	398.8731131999
UniRef90_A0A0C5F869	4396.7218956904
UniRef90_A0A0C5F869|g__Klebsiella.s__Klebsiella_michiganensis	4396.7218956904
UniRef90_A0A2H9A3Z8	4373.2384944342
UniRef90_A0A2H9A3Z8|g__Klebsiella.s__Klebsiella_michiganensis	4373.2384944342
UniRef90_A0A2H9A1U6	4368.3203617545
UniRef90_A0A2H9A1U6|g__Klebsiella.s__Klebsiella_michiganensis	2188.5849172185
UniRef90_A0A2H9A1U6|g__Klebsiella.s__Klebsiella_oxytoca	2179.7354445360
UniRef90_T1DQS5	4352.8910358956
UniRef90_T1DQS5|unclassified	4352.8910358956
UniRef90_A8ACR3	4330.1545060609
UniRef90_A8ACR3|unclassified	4330.1545060609
UniRef90_A8ARM4	4302.5260636194
UniRef90_A8ARM4|g__Klebsiella.s__Klebsiella_michiganensis	4272.2938149437
UniRef90_A8ARM4|unclassified	18.3274867709
UniRef90_A8ARM4|g__Klebsiella.s__Klebsiella_grimontii	11.9047619048
UniRef90_A0A1B8YMY4	4287.4646983039
UniRef90_A0A1B8YMY4|unclassified	4287.4646983039
UniRef90_A0A2H9AJV5	4253.7267820357
UniRef90_A0A2H9AJV5|g__Klebsiella.s__Klebsiella_oxytoca	2159.6076462320
UniRef90_A0A2H9AJV5|g__Klebsiella.s__Klebsiella_michiganensis	2094.1191358036
UniRef90_A0A0T5XI21	4219.0281111900
UniRef90_A0A0T5XI21|g__Klebsiella.s__Klebsiella_oxytoca	4219.0281111900
UniRef90_A0A0T5XKE0	4208.9870445132
UniRef90_A0A0T5XKE0|g__Klebsiella.s__Klebsiella_oxytoca	4208.9870445132
UniRef90_A0A157QQQ1	4207.0043837621
UniRef90_A0A157QQQ1|g__Klebsiella.s__Klebsiella_oxytoca	4207.0043837621
UniRef90_A0A181Y9Y8	4202.6630387322
UniRef90_A0A181Y9Y8|g__Klebsiella.s__Klebsiella_oxytoca	4202.6630387322
UniRef90_A0A192CDZ5	4202.2447569656
UniRef90_A0A192CDZ5|unclassified	4202.2447569656
UniRef90_A0A3B7QCE0	4189.1024323906
UniRef90_A0A3B7QCE0|g__Klebsiella.s__Klebsiella_oxytoca	4189.1024323906
UniRef90_P19768	4186.0191335915
UniRef90_P19768|g__Klebsiella.s__Klebsiella_oxytoca	2117.6117666259
UniRef90_P19768|g__Klebsiella.s__Klebsiella_michiganensis	2068.4073669656
UniRef90_A0A142EB96	4177.3314537078
UniRef90_A0A142EB96|g__Klebsiella.s__Klebsiella_michiganensis	2513.7552887762
UniRef90_A0A142EB96|g__Klebsiella.s__Klebsiella_oxytoca	1663.5761649316
UniRef90_A0A0T5XKL0	4172.4390720313
UniRef90_A0A0T5XKL0|g__Klebsiella.s__Klebsiella_oxytoca	4172.4390720313
UniRef90_A0A0J2D7F2	4163.8327288094
UniRef90_A0A0J2D7F2|g__Klebsiella.s__Klebsiella_michiganensis	2091.2524810896
UniRef90_A0A0J2D7F2|g__Klebsiella.s__Klebsiella_oxytoca	2072.5802477198
UniRef90_A0A0T5XN67	4137.0741972134
UniRef90_A0A0T5XN67|g__Klebsiella.s__Klebsiella_oxytoca	4137.0741972134
UniRef90_A0A0T5XEY5	4136.0723621354
UniRef90_A0A0T5XEY5|g__Klebsiella.s__Klebsiella_oxytoca	4136.0723621354
UniRef90_A0A2R4PEP3	4101.6885386955
UniRef90_A0A2R4PEP3|g__Klebsiella.s__Klebsiella_oxytoca	2321.0789210789
