#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan KC07_S72_L004_R1_001.fastq.gz,KC07_S72_L004_R2_001.fastq.gz --bowtie2out KC07_S72_L004_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o KC07_S72_L004_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:65963768
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	13.90897	65963768
k__Bacteria|p__Bacteroidetes	2|976	48.3166	6.72034	34396524
k__Bacteria|p__Proteobacteria	2|1224	40.09964	5.57745	27203756
k__Bacteria|p__Firmicutes	2|1239	11.58139	1.61085	4362571
k__Bacteria|p__Verrucomicrobia	2|74201	0.00237	0.00033	917
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	48.3166	6.72034	34396524
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	40.09706	5.57709	27202422
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	11.57823	1.61041	4361653
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.00316	0.00044	918
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.00237	0.00033	917
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.00158	0.00022	1013
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00101	0.00014	321
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	48.3166	6.72034	34396524
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	40.09706	5.57709	27202422
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	10.57682	1.47113	4076924
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.00142	0.13929	284729
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.00316	0.00044	918
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.00237	0.00033	917
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.00158	0.00022	1013
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.00101	0.00014	321
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	48.31596	6.72025	34396242
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	40.09706	5.57709	27202422
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	10.57135	1.47037	4074509
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.99331	0.13816	281686
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0.00665	0.00092	2674
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2|1239|91061|1385|186817	0.00547	0.00076	2415
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	2|1239|1737404|1737405|1570339	0.00316	0.00044	918
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	0.00237	0.00033	917
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	2|1224|28211|204441|433	0.00158	0.00022	1013
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.00146	0.0002	369
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	2|1224|28216|206351|481	0.00101	0.00014	321
